Id_pagina_ex;links;Qtd
93;https://economia.uol.com.br/empregos-e-carreiras/;1
93;https://economia.uol.com.br/financas-pessoais/;1
93;https://economia.uol.com.br/guia-de-economia;1
93;https://economia.uol.com.br/temas/lideres;1
93;https://economia.uol.com.br/midia-e-marketing/;1
93;https://economia.uol.com.br/temas/reforma-da-previdencia/;1
93;https://economia.uol.com.br/uol-economia-explica/;1
93;https://noticias.uol.com.br/newsletters?investimentos;1
93;https://economia.uol.com.br/blogs-e-colunas;1
93;https://economia.uol.com.br/videos;1
93;https://economia.uol.com.br/ultimas/;1
93;https://economia.uol.com.br/cotacoes/cambio/dolar-comercial-estados-unidos/;1
93;https://economia.uol.com.br/imposto-de-renda/ultimas;1
93;https://economia.uol.com.br/imposto-de-renda/duvidas;1
93;https://economia.uol.com.br/imposto-de-renda/noticias/redacao/2020/03/06/faca-o-download-do-programa-de-declaracao-do-ir-2020.htm;1
93;https://www.folha.uol.com.br/;1
93;https://www.uol.com.br/esporte/;1
93;https://www.uol.com.br/esporte/futebol/;1
93;https://www.uol.com.br/esporte/futebol-muleke/;1
93;https://www.uol.com.br/esporte/futebol/central-de-jogos/jogos-do-dia/;1
93;https://www.uol.com.br/esporte/futebol/mercado-da-bola/;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/libertadores;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/copa-do-brasil/;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/paulista;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/carioca;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/brasileirao/;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/serie-b/;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/liga-dos-campeoes;1
93;https://www.uol.com.br/esporte/futebol/campeonatos/;1
93;https://www.uol.com.br/esporte/futebol/de-primeira/;1
93;https://www.uol.com.br/esporte/f1/;1
93;https://www.uol.com.br/esporte/mma/;1
93;https://www.uol.com.br/esporte/basquete/;1
93;https://www.uol.com.br/esporte/volei/;1
93;https://www.uol.com.br/esporte/tenis/;1
93;https://placar.uol.com.br/esporte/tenis/jogos-do-dia/;1
93;https://www.uol.com.br/esporte/reportagens-especiais/;1
93;https://www.uol.com.br/esporte/minha-historia;1
93;https://www.uol.com.br/esporte/blogs-e-colunas;1
93;https://www.uol.com.br/esporte/videos;1
93;https://www.uol.com.br/esporte/ultimas;1
93;https://www.uol.com.br/esporte/futebol/times/athletico;1
93;https://www.uol.com.br/esporte/futebol/times/atletico-mg/;1
93;https://www.uol.com.br/esporte/futebol/times/atletico-go/;1
93;https://www.uol.com.br/esporte/futebol/times/bahia/;1
93;https://www.uol.com.br/esporte/futebol/times/botafogo/;1
93;https://www.uol.com.br/esporte/futebol/times/red-bull-bragantino/;1
93;https://www.uol.com.br/esporte/futebol/times/ceara/;1
93;https://www.uol.com.br/esporte/futebol/times/chapecoense/;1
93;https://www.uol.com.br/esporte/futebol/times/corinthians/;1
93;https://www.uol.com.br/esporte/futebol/times/coritiba/;1
93;https://www.uol.com.br/esporte/futebol/times/cruzeiro/;1
93;https://www.uol.com.br/esporte/futebol/times/flamengo/;1
93;https://www.uol.com.br/esporte/futebol/times/fluminense/;1
93;https://www.uol.com.br/esporte/futebol/times/fortaleza/;1
93;https://www.uol.com.br/esporte/futebol/times/gremio/;1
93;https://www.uol.com.br/esporte/futebol/times/goias/;1
93;https://www.uol.com.br/esporte/futebol/times/internacional/;1
93;https://www.uol.com.br/esporte/futebol/times/palmeiras/;1
93;https://www.uol.com.br/esporte/futebol/times/santos/;1
93;https://www.uol.com.br/esporte/futebol/times/sao-paulo/;1
93;https://www.uol.com.br/esporte/futebol/times/sport/;1
93;https://www.uol.com.br/esporte/futebol/times/vasco/;1
93;https://uol.com.br/mov/juca-explica/;1
93;https://uol.com.br/mov/quase-atletas/;1
93;https://uol.com.br/mov/futparodias/;1
93;https://uol.com.br/mov/entrevistao-de-esporte/;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-brasileirao__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/brasileirao;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-libertadores__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/fox-sports-libertadores;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-cl__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/champions-league/;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-nl__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/nations-league/;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-pl__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/premier-league;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-ll__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/laliga;1
93;http://clicklogger.rm.uol.com.br/?prd=915&grp=src:210__chn:22__cpg:barra-esporte-aovivo__creative:barra-esporte-nba__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/lp/espnplay/nba;1
93;https://entretenimento.uol.com.br;1
93;https://www.uol.com.br/carnaval/;1
93;https://entretenimento.uol.com.br/colunas/mauricio-ricardo-charges/;1
93;https://entretenimento.uol.com.br/filmes-e-series;1
93;https://entretenimento.uol.com.br/geek/;1
93;https://entretenimento.uol.com.br/livros-e-hq/;1
93;https://entretenimento.uol.com.br/musica/;1
93;https://entretenimento.uol.com.br/teatro-e-musicais/;1
93;https://noticias.uol.com.br/newsletters?rap_cru;1
93;https://entretenimento.uol.com.br/blogs-e-colunas/;1
93;https://entretenimento.uol.com.br/videos;1
93;https://entretenimento.uol.com.br/ultimas/;1
93;https://www.uol.com.br/mov/poucas;1
93;https://www.uol.com.br/mov/meteoro-por-tras-da-cena/;1
93;https://www.uol.com.br/mov/me-segue;1
93;https://play.uol.com.br/conheca/?utm_source=uol.com.br&utm_medium=UOLHome&utm_campaign=menuentrete-assine&utm_term=menuentrete-uolplay&utm_content=menuentreteassine;1
93;https://clicklogger.rm.uol.com.br/?prd=938&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-leiamais-entrete-banca__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://leiamais.uol.com.br/banca;1
93;https://clicklogger.rm.uol.com.br/?prd=938&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-leiamais-entrete-livro__&msr=Cliques%20de%20Origem:1&oper=11&redir=https://leiamais.uol.com.br/livros;1
93;http://clicklogger.rm.uol.com.br/?prd=3&grp=src:13__chn:539__creative:linkfixo_menu__thm:entretenimento-loja-de-jogos&msr=Cliques%20de%20Origem:1&oper=11&redir=https://jogos.uol.com.br/loja;1
93;http://clicklogger.rm.uol.com.br/?prd=247&grp=src:13__chn:539__creative:linkfixo_menu__thm:entretenimento-sexo&msr=Cliques%20de%20Origem:1&oper=11&redir=http://sexo.uol.com.br/;1
93;https://tvefamosos.uol.com.br;1
93;https://tvefamosos.uol.com.br/famosos/;1
93;https://tvefamosos.uol.com.br/televisao/;1
93;https://tvefamosos.uol.com.br/reality-shows/;1
93;https://noticias.uol.com.br/newsletters?ve_tv;1
93;https://tvefamosos.uol.com.br/videos;1
93;https://tvefamosos.uol.com.br/ultimas/;1
93;https://tvefamosos.uol.com.br/colunas/chico-barney/;1
93;https://tvefamosos.uol.com.br/colunas/fefito;1
93;https://tvefamosos.uol.com.br/colunas/mauricio-stycer/;1
93;https://tvefamosos.uol.com.br/colunas/ricardo-feltrin/;1
93;https://tvefamosos.uol.com.br/novelas/apocalipse;1
93;https://tvefamosos.uol.com.br/novelas/as-aventuras-de-poliana/;1
93;https://tvefamosos.uol.com.br/novelas/fina-estampa;1
93;http://tvefamosos.uol.com.br/novelas/malhacao-viva-a-diferenca;1
93;https://tvefamosos.uol.com.br/novelas/novo-mundo;1
93;https://tvefamosos.uol.com.br/novelas/totalmente-demais;1
93;https://universa.uol.com.br;1
93;https://www.uol.com.br/universa/horoscopo/previsao-diaria/;1
93;https://noticias.uol.com.br/newsletters?universa;1
93;https://www.uol.com.br/universa/blogs-e-colunas/;1
93;https://www.uol.com.br/universa/videos;1
93;https://www.uol.com.br/universa/ultimas/;1
93;https://www.uol.com.br/universa/transforma/autoestima/;1
93;https://www.uol.com.br/universa/transforma/direitos-da-mulher/;1
93;https://www.uol.com.br/universa/transforma/diversidade/;1
93;https://www.uol.com.br/universa/transforma/politica/;1
93;https://www.uol.com.br/universa/transforma/violencia-contra-a-mulher/;1
93;https://www.uol.com.br/universa/inspira/a-poderosa/;1
93;https://www.uol.com.br/universa/inspira/beleza/;1
93;https://www.uol.com.br/universa/inspira/carreira-e-financas/;1
93;https://www.uol.com.br/universa/inspira/casa-e-decoracao/;1
93;https://www.uol.com.br/universa/inspira/moda/;1
93;https://www.uol.com.br/universa/inspira/mulheres-inspiradoras/;1
93;https://www.uol.com.br/universa/inspira/relacionamentos/;1
93;https://www.uol.com.br/universa/inspira/sexo/;1
93;https://www.uol.com.br/universa/pausa/fofuras/;1
93;https://www.uol.com.br/universa/pausa/sem-filtro/;1
93;https://www.uol.com.br/universa/pausa/stalkeadas/;1
93;https://www.uol.com.br/universa/pausa/experimenta/;1
93;https://www.uol.com.br/universa/pausa/hysteria/index.htm;1
