Id_pagina_ex;frases;Qtd
93;UOL Entrevista Sociólogo Luiz Campos fala ao vivo nesta 4ª sobre racismo e pandemia;1
93;Quarentena no litoral Estudante desaparece durante caminhada e é achada morta em SP;1
93;Ronnie e Donnie Gêmeos siameses mais velhos do mundo morrem aos 68 anos;1
93;Falou ao 'The Guardian' Juninho: 'Não falo com 90% da família por apoiarem Bolsonaro';1
93;Covid-19 OMS cita evidências sobre transmissão aérea do vírus;1
93;'Cidadão, não' Revolta após fala mostra que Brasil tem potencial para mudar;1
93;Por R$ 11 cada Esquema de corrupção russo envolveu a venda de 4 caças MiG-31;1
93;'Divisor de águas' WhatsApp vai virar banco? Entenda limites e planos do pagamento;1
93;Durante a pandemia Assembleia de SP autoriza suspensão de IPVA para veículo novo;1
93;Quina nº 5307 04 05 30 43 61;1
93;Elas se aplicam a Bolsonaro? O que dizem as leis sobre isolamento social para pacientes com covid-19;1
93;UOL Carros;1
93;Herói ou vilão? Tire as principais dúvidas sobre o ovo e faça as escolhas certas;1
93;Jairo Bouer Será que você sabe mesmo o que quer em um parceiro?;1
93;Qual é o remédio? Omeprazol é eficaz contra acidez, mas pode levar à anemia;1
93;Prognóstico sombrio Bill Gates prevê piora da pandemia e se preocupa com teorias;1
93;Teve 'medalhaço' O que é o projeto de socorro ao esporte que uniu atletas;1
93;Ver Todos;1
93;Chico Alves Bolsonaro pode se curar, mas mitomania é grave;1
93;Marcia Zanelatto Com questões identitárias, o humor acabou?;1
93;B. Boghossian Bolsonaro faz de diagnóstico espetáculo político;1
93;Thaís Oyama Bolsonaro calado é mais apreciado que falando;1
93;Ricardo Kotscho Bolsonaro sem máscara é vítima dele mesmo;1
93;Igor Gielow Bolsonaro tenta usar covid-19 como aliada;1
93;Kennedy Alencar CNN americana rebaixa Trump a Bolsonaro;1
93;Manu Cantuária A princesa e o delegado;1
93;Saída pela Direita Advogados direitistas lançam ação contra STF;1
93;Cecilia Machado Lidar com informalidade é atacar causas;1
93;J. P. Coutinho Vivemos entre dois desejos distintos;1
93;A. Costa e Silva Elizeth Cardoso e dois mundos musicais;1
93;Encontro inesquecível Polito: Como conheci Martha Rocha e achei num sebo o livro que havia lhe dado;1
93;Roberto Sadovski O dia em que Ennio Morricone me ensinou a importância da música no cinema;1
93;Opinião - Andreza Delgado Último 'Star Wars' pode não ter sido tão bom, mas rendeu coisas boas;1
93;Projeto contra a fome 'Cesta básica tem papel importante, mas é preciso democratizar orgânicos';1
93;Internada na Alemanha Brasileira estava desnutrida após 6 dias desaparecida, diz mãe;1
93;Caso no Rio de Janeiro Polícia: PM que matou mototaxista responderá em liberdade;1
93;Cris Guterres Você tem sensação de conforto ao se ver como melhor que o outro?;1
93;Ver todos;1
93;Baixo Clero #46 Trevisan: 'PL das fake news desagrada a Bolsonaro porque o governo é 'fake'';1
93;Posse de Bola #40 Mauro: 'Se o Dudu sair do Palmeiras por empréstimo, é um tanto melancólico';1
93;Mídia e Marketing #43 F. Vilela conta estratégia de guerrilha da Rappi: 'Invasão de mochila laranja';1
93;Previsto para 2021 Audi revela conceito Q4, com motores elétricos de 306 cv;1
93;Avaliação 'Disintegration' tem pedigree de 'Halo', mas não convence;1
93;Confira fotos Bruna Marquezine viraliza ao mostrar casa de 890 m²;1
93;Férias no Caribe Sou tímida, diz Dua Lipa em fotos de biquíni com namorado;1
93;Se uniram em 2017 Arthur Aguiar x Mayra Cardi: como romance acabou em briga;1
93;'Versão mais suave' Mia Khalifa mostra resultado de cirurgia plástica no nariz;1
93;Após 13 anos Kourtney Kardashian explica saída de reality: 'Tóxico';1
93;'Saí chorando' Ex de Felipe Araújo diz que foi maltratada por Luciana Gimenez;1
93;esporte;1
93;Campeonato Italiano CR7 marca, mas Juve perde por 4 a 2 para o Milan Milan leva dois gols, vira em 5min e vence Juventus em duelo CR7 x Ibra;1
93;Doping Covid-19: drogas proibidas no esporte são testadas Novidade está no uso de eritropoetina sintética, mais conhecida como EPO;1
93;Mauro: Boca deve renovar com Tevez Corinthians até tentou, mas o preço do jogador não está para negociação;1
93;Pandemia Clubes fazem testes de covid-19 após visita a Bolsonaro;1
93;Após 'noite sem dormir' Zagueiro Léo Santos é novidade em treino do Corinthians;1
93;Vítima sobreviveu Jogador russo de 16 anos é atingido por raio durante treinamento;1
93;Afastado pela pandemia Funcionário do Náutico há 52 anos ganha homenagem;1
93;entretê;1
93;Em meio a pandemia Programas estão se reinventando para retomar gravações Mudanças ocorrem em todos os canais;1
93;Assista cenas inéditas do novo MasterChef;1
93;Curta vencedor do Oscar 'Hair Love' vira série de 12 episódios na HBO Max História é baseada no livro de Matthew Cherry, que dirige o curta;1
93;Assista Hilary Swank aparece em missão no espaço em trailer de 'Away';1
93;'Uma vacina contra o coronavírus' Para atores, 'Cine Holliúdy' volta com alegria e resistência na pandemia;1
93;Estreia no GloboPlay Globo não menciona Regina Duarte em campanha de 'Vale Tudo';1
93;Fefito - Opinião 'Legendary', uma batalha de vogue, é reality mais divertido do momento;1
93;'Aquilo me consumiu' Ex-Malhação relata drama por ter vídeo exposto em site adulto;1
93;Saudade de abraçar filhos Com covid-19, Eliana fala sobre isolamento: 'Faltam dois dias';1
93;Superoferta no Clube UOL Até 50% OFF em rede de varejo de móveis e eletrodomésticos;1
93;notícias;1
93;ibovespa - 1,19% 97.761,04 pts (05:16);1
93;Dólar comercial + 0,63% R$ 5,386 (05:00);1
93;Peso Argentino + 0,13% R$ 0,076 (06:00);1
93;Euro + 0,12% R$ 6,067 (11:10);1
93;Libra + 0,88% R$ 6,752 (11:09);1
93;Reflexos da pandemia 265 mil alunos abandonam ensino superior pago A evasão foi quase 32% maior ante o mesmo período de 2019;1
93;Maioria das escolas particulares perdeu mais de 10% dos alunos, diz pesquisa;1
93;Demanda da Defensoria Pública RJ: prefeitura dará R$ 50 a estudantes na pandemia A medida foi anunciada pelo prefeito Marcelo Crivella nesta terça-feira;1
93;Em São Paulo Metroviários adiam decisão sobre greve para a próxima semana;1
93;RJ: tentativa de assédio em trem Jovem expôs suposto abusador e diz ter sido ameaçada por esposa dele;1
93;Loteria Quina acumula, e prêmio vai a R$ 8,6 milhões__ veja números;1
93;Timemania acumula e vai a R$ 5,3 mi;1
93;Encaminhou ao MP Polícia do Rio conclui inquérito e indicia agressores de médica;1
93;Partido cobra explicação Conta de Whatsapp usada pelo PT é bloqueada;1
93;Prefeito de Tamandaré (PE) Pedido de impeachment de Sérgio Hacke é protocolado;1
93;Pós em Finanças!;1
93;Estude com Ricardo Amorim e outros.Saiba mais!;1
93;PAGSEGURO UOL;1
93;0% de taxa, de verdade, só no PagSeguro. Peça já sua maquininha!;1
93;UOL MEU NEGÓCIO;1
93;Divulgue o seu negócio com um site profissional!Experimente 7 dias!;1
93;Crie salas exclusivas com o Bate-papo UOL. Acesse Agora!;1
93;MBA na PUCRS;1
93;Gestão, Empreendedorismo e MKT.;1
93;'Bombardeadas por coisas ruins' Grávidas durante pandemia, elas enfrentam solidão e incertezas: 'Só vem tristeza';1
93;Foto sem filtro Ícone da moda nos anos 90 reflete sobre envelhecimento;1
93;Lindsay Ell Cantora revela que sofreu estupro aos 13 e 21, e lança música;1
93;Carrega desde os 15 anos Hariany diz que não sente vergonha de estrias: 'Todos têm';1
93;Tema de conferência Médico da UFMG: 'Impacto da covid-19 no combate à Aids Brasil é enorme';1
93;Estudo investigou Será que você sabe mesmo o que quer em um parceiro?;1
93;11 mil mortes evitadas na Europa Queda da poluição na pandemia reduz mortalidade por doenças, aponta estudo;1
93;Pandemia Distanciamento físico, mas não social__ entenda a diferença;1
93;Habitações acessíveis nos EUA Kanye West reinicia projeto de casas 'Star Wars' destinadas aos sem-teto;1
93;Pós-coronavírus Chefs caseiros podem ser outro golpe para restaurantes dos EUA;1
93;Aprenda a receita Ana Maria Braga ensina a fazer chocolate quente;1
93;Plano de reabertura Machu Picchu reduzirá capacidade a 2.244 visitantes por dia;1
93;Manutenção em dia Qual a importância de colocar as velas adequadas no motor do seu carro;1
93;estilo 'Código Da Vinci' Rolls-Royce lança modelo com mensagens cifradas;1
93;Desejo de Zuckerberg Facebook e WhatsApp: veja as primeiras pistas da integração dos dois apps;1
93;Saiba como usar Google Docs ganha suporte a modo escuro no Android;1
93;Indústria tóxica Ubisoft, Twitch, EVO: casos de assédio explodem na indústria dos games;1
93;Leo Bianchi País do mobile, Brasil se destaca no PUBG no cenário do eSports;1
93;Nísia Trindade Lima 'Pandemia não é a mesma para todos', diz a presidente da Fiocruz;1
93;Problema histórico O que é, origem e como combater a desigualdade social;1
93;Schwarza na MOV Solidariedade nas favelas tenta amenizar dor onde o Estado não chega;1
93;Criador do Meteoro Brasil 'Brasil é gerenciado com bom senso de bêbado';1
93;Diversidade Japoneses negros: jovens desmontam mito de modelo étnico único no Japão;1
93;'Novo Mundo' para quem? Em Espanha e Portugal, colonizar é 'expandir território';1
93;1 Presidente Bolsonaro diz que testou positivo para covid-19 Ele realizou os exames em Brasília após sentir alguns sintomas da doença, mas diz se estar 'perfeitamente bem';1
93;2 Gêmeos siameses mais velhos do mundo morrem aos 68 anos nos EUA;1
93;3 Engenheiro relata ameaças e nega ter agredido fiscal em bar no Rio;1
93;4 Juninho: Não falo com 90% da minha família por terem apoiado Bolsonaro;1
93;5 Brasileira estava desnutrida após desaparecer na Alemanha, diz mãe;1
93;Jornalismo Como A. Sadi virou um dos principais nomes da Globo;1
