Id_pagina_ex;palavras;Qtd
93;h__;1
93;siga;1
93;erra;1
93;dados;1
93;fonte;1
93;anunciar;1
93;doença;1
93;Jair;1
93;toma;1
93;hidroxicloroquina;1
93;pergunta:;1
93;'Eu;1
93;confio,;1
93;você?';1
93;Ratier:;1
93;dados,;1
93;aposta;1
93;'causos';1
93;justificar;1
93;Associação;1
93;agiu;1
93;forma;1
93;criminosa;1
93;Políticos;1
93;desejam;1
93;melhoras;1
93;Bolsonaro__;1
93;oposição;1
93;pede;1
93;reflexão;1
93;Um;1
93;terço;1
93;constam;1
93;agendas;1
93;fez;1
93;teste;1
93;soma;1
93;1.312;1
93;h,;1
93;47%;1
93;Sudeste__;1
93;total;1
93;66.868;1
93;Diretor;1
93;Butantan;1
93;otimista;1
93;disponibilizar;1
93;ainda;1
93;TV,;1
93;Mandetta;1
93;escondeu;1
93;projeções;1
93;pessimistas:;1
93;ajudava';1
93;'Olhem;1
93;agora;1
93;acontecendo;1
93;Brasil',;1
93;Moradores;1
93;rua;1
93;cobram;1
93;frio;1
93;JN;1
93;reage;1
93;'exclusiva';1
93;imagens;1
93;covid;1
93;Ministro;1
93;requisita;1
93;PF;1
93;investigar;1
93;artigo;1
93;Artigo;1
93;ataque;1
93;claro;1
93;instituição;1
93;Presidência,;1
93;Opinião:;1
93;Que;1
93;recupere;1
93;experiência;1
93;sirva;1
93;mudança;1
93;atitude;1
93;Apoio;1
93;às;1
93;companhias;1
93;texto-base;1
93;aéreas;1
93;trata;1
93;reembolso;1
93;clientes;1
93;Supostas;1
93;'rachadinhas';1
93;Flávio;1
93;depõe;1
93;1ª;1
93;vez;1
93;MP,;1
93;comparecerá;1
93;Veja;1
93;tudo;1
93;rolou;1
93;Vitão;1
93;surpresa;1
93;show;1
93;Luísa;1
93;Sonza;1
93;drive-in,;1
93;Governo;1
93;defende;1
93;manter;1
93;Pujol;1
93;comando;1
93;Exército;1
93;fim;1
93;mandato;1
93;Falta;1
93;trava;1
93;data;1
93;Enem;1
93;Vitor;1
93;Hugo;1
93;'reserva';1
93;MEC;1
93;número;1
93;mínimo;1
93;letivos;1
93;Defesa;1
93;Lula;1
93;cometeu;1
93;crimes;1
93;PowerPoint;1
93;Medidas;1
93;Relator;1
93;veto;1
93;desoneração__;1
93;Congresso;1
93;derrubar,;1
93;Maia;1
93;Prorrogação;1
93;odontológica;1
93;sanção;1
93;indenização;1
93;profissionais;1
93;incapacitados;1
